id	qid1	qid2	question1	question2	is_duplicate
3000	5949	5950	What song can you listen to and never get tired of hearing?	What songs can you listen to over and over and not get tired of?	1
3001	5951	5952	How are the British troops stationed in Bermuda, Belize, Cayman islands, Brunei, Hong Kong and Saint Kitts and Nevis reacted during the Falklands war?	How would a modern day Falklands war turn out?	0
3002	5953	5954	How long can someone live with cancer and without receiving any treatment?	How far could someone go if they could live without sex, drugs, smoking and alcohol?	0
3003	5955	5956	What type of diets can you follow to lose 5 pounds in 2 weeks?	How can I lose 5lbs in 2 weeks?	1
3004	5957	5958	Which is the best commerce college in Mangalore?	Which is the best commerce college in Kolkata?	0
3005	5959	5960	Is networking a good field to have a career in? What is the scope? How should I proceed in networking in an effective manner if yes?	Is networking a good career option?	0
3006	5961	5962	Can I use letter stamps as postcard stamps?	What is the USPS butterfly stamp used for? How many standard stamps is it equivalent to?	0
3007	5963	5964	How much water should a normal, healthy adult drink on a daily basis to avoid dehydration?	How much water should one drink in one day?	1
3008	5965	5966	[SPOILER] How big of a shock was it that Darth Vader was Luke's father when it was first revealed?	Star Wars Movies: Does Princess Leia ever learn that Darth Vader is her father?	0
3009	5967	5968	Secrets of Indian army?	What is the secrets of indian army?	1
3010	5969	5970	How can you define maturity?	What is maturity? Is it only the physical change?	1
3011	5971	5972	What are some good and cheap lodges in Paharganj, Delhi? Are there any good lodging options around Pragati, Maidan?	What are some good Delhi Metro travel hacks?	0
3012	5973	5974	Why are specs & sunglasses so expensive?	Why are Ray-Ban sunglasses so expensive?	0
3013	5975	5976	How do I find egg cooking chefs in a city?	How do you cook an egg for a chef who will judge all your cooking skills by this one dish?	0
3014	5977	5978	My baby can't suck on my nipple. How can I breastfeed?	Why does a baby often suck its finger?	0
3015	5979	5980	Which is the best institute for GMAT preparations in Delhi?	What are the best coaching institutes for GMAT in NCR?	1
3016	5981	5982	What is infant mortality rate?	What is the infant mortality rate for Russia?	0
3017	5983	5984	How do I buy a good bansuri (bamboo flute) for beginners in flute learning?	Which bansuri should I buy as a beginner?	0
3018	5985	5986	Is it possible to be an outgoing introvert?	What is an outgoing introvert?	0
3019	5987	5988	How was your KVPY sa 2016?	What is the expected KVPY 2016 SA cut off?	1
3020	5989	5990	Why does Dushka Zapata have a story about EVERYTHING? Are they all true?	How does Dushka Zapata have so many stories to tell?	1
3021	5991	5992	What does an interior designer do?	What does a interior designer do?	1
3022	5993	5994	What does Donald Trump's success tell us about the American public?	What does Donald Trump's nomination reflect about the people of the United States/Americans?	1
3023	5995	5996	Why do some teenage girls want to marry, divorce after a while and get alimony?	Why some teenage girls want to marry, then divorce and then get alimony?	1
3024	5997	5998	I wanna study hard but I can't, how can I motivate myself for that?	I can't motivate myself to study or work hard at anything. How can I change this?	1
3025	5999	6000	Is Putin actually a coward?	How can I be less cowardly?	0
3026	1809	6001	What is your view on the recent demonetization in India?	What is your view on Demonetization in India?	1
3027	5925	6002	Why do dogs wag their tails when they are happy?	Why do dogs wag their tails?	1
3028	6003	6004	What are the different genre of songs?	"Why does any girls talk to me ""Is there any purpose of talking to me""?"	0
3029	6005	6006	How do I become a football/soccer manager/coach? What are some steps I can take to start?	What pathway should I take to become a football (soccer) manager?	1
3030	6007	6008	How do I overcome my fear of uncertainty in life?	How do I overcome the fear of uncertainty in life?	1
3031	6009	6010	What does a drug dealer do specifically?	What is it like to be a drug dealer?	0
3032	6011	6012	What is an inanimate object?	What is an inanimate object? What are examples of inanimate objects?	1
3033	6013	6014	Can anyone become good at mathematics?	Can everyone become good at math?	1
3034	6015	6016	"Should I get ""Objective Physics for Medical Entrances"" by DC Pandey or ""Understanding Physics for the JEE-Mains"" by the same author for the AIIMS UG entrance exam?"	Which is the best coaching class for the preparation of medical entrance exams in India?( UG and PG)	0
3035	6017	6018	Can I withdraw a police complaint after FIR has been lodged?	What is difference between FIR and complaint?	0
3036	6019	6020	How can I get a job?	How do I get a Job in IT?	0
3037	6021	6022	How do I get cash off a credit card without the card?	How do you get cash back from a credit card?	0
3038	6023	6024	How much doctors visit cost?	How much does a doctor visit cost?	1
3039	6025	6026	Why are linear motors not used to actuate robots?	What are the different actuators and motors used in biometrics?	0
3040	6027	6028	What is it that we as Indians are collectively doing wrong?	What is it that we indians are doing collectively wrong?	1
3041	6029	6030	Is there a way to prevent hair Loss?	My hair is falling. What can I do to prevent this?	1
3042	6031	6032	How do you convert mL to grams?	What is the equation to convert grams into milliliters?	0
3043	6033	6034	What are some of the must listen carnatic songs on flute?	What are some of the must-listen Carnatic Songs?	0
3044	6035	6036	How can I see what someone is doing when connected to my Android hotspot?	How do I sniff hotspot connected devices' traffic data on my Android cellphone?	0
3045	6037	6038	Why are there 12 inches in a foot?	Why is 12 inches equivalent to 1 foot?	1
3046	6039	6040	What is it like to be a graduate student at TIFR, Mumbai?	How is life in TIFR?	0
3047	6041	6042	How did you realize you wanted to be an architect?	Who are the best architects in the world?	0
3048	6043	6044	I want to participate in the next Google Summer of Code (GSoC). Where should I start from and what should I do?	What should I do to get an entry in the Google Summer of Code contest?	1
3049	6045	6046	What is first night?	What is the first night effect?	0
3050	6047	6048	Why did you choose The Adventures of Huckleberry Finn to read?	Why did you choose The Adventures of Huckleberry Finn to read as your first novel?	1
3051	6049	6050	What to do when you don't want to do?	What do you do when you don't want to do anything?	1
3052	6051	6052	What is verfify identity in Google account?	How should I handle my break-up dilemma?	0
3053	6053	6054	What are your paranormal experiences?	What are some paranormal experiences you had?	1
3054	6055	6056	What's your secret to success?	What is the secret to success?	1
3055	6057	6058	What is open market operation?	What do you mean by open market operation?	1
3056	6059	6060	Do atheists who celebrate Christmas call it something different?	Do atheists call Christmas something different?	1
